, again, air, along, also, always, another, any, around, away, back, because, below, between, big, both, came, children, come, day, different, end, even, every, few, find, food, form, get, give, go, great, help, here, home, house, important, keep, large, last, left, line, look, me, men, might, much, must, name, never, new, next, number, off, old, our, own, part, place, put, right, same, set, show, something, sound, still, such, take, tell, think, thought, three, through, together, too, under, until, us, want, well, went, while, why, work, world, 
again, 0.000, 0.333, , , , , , , , 0.333, , , , , , 0.333, , 0.333, , , 0.333, 0.250, , , 0.333, , 0.250, 0.333, 0.333, 0.333, , 0.250, , 0.200, 0.250, , 0.333, , 0.333, 0.333, 0.250, 0.333, , , , , , 0.333, , , , 0.250, 0.250, , , 0.333, 0.333, 0.250, 0.250, 0.250, , 0.333, 0.333, , 0.333, 0.250, , 0.333, 0.250, 0.333, 0.333, , , , , , , , 0.333, 0.167, 0.333, , , 0.333, , 
air, 0.333, 0.000, , , , , , , , 0.333, , , , , , 0.333, 0.125, 0.333, 0.143, , 0.333, 0.250, , 0.100, 0.333, 0.167, 0.250, 0.333, 0.333, 0.333, 0.111, 0.250, 0.250, 0.250, 0.333, , 0.333, 0.167, 0.333, 0.333, 1.000, 0.333, 0.111, 0.167, 0.167, 0.125, 0.125, 0.333, , , , 0.250, 0.250, 0.167, , 0.333, 0.500, 0.250, 0.250, 0.250, 0.100, 0.333, 0.333, , 0.333, 0.250, , 0.333, 0.500, 0.333, 0.333, 0.125, , , , , , 0.167, 0.333, 0.167, 0.333, 0.111, 0.111, 0.333, 0.167, 
along, , , 0.000, , , , , , , 0.333, , , , , , 0.333, , 0.333, , , 0.333, 0.250, , , 0.333, , 0.250, 0.333, 0.333, 0.333, , 0.250, , 0.200, 0.250, , 0.333, , 0.333, 0.333, 0.250, 0.333, , , , , , 0.333, , , , 0.250, 0.250, , , 0.333, 0.333, 0.250, 0.250, 0.250, , 0.333, 0.333, , 0.333, 0.250, , 0.333, 0.250, 0.333, 0.333, , , , , , , , 0.333, 0.167, 0.333, , , 0.333, , 
also, , , , 0.000, , , , , , 0.333, , , , , , 0.333, , 0.333, , , 0.333, 0.250, , , 0.333, , 0.250, 0.333, 0.333, 0.333, , 0.250, , 0.200, 0.250, , 0.333, , 0.333, 0.333, 0.250, 0.333, , , , , , 0.333, , , , 0.250, 0.250, , , 0.333, 0.333, 0.250, 0.250, 0.250, , 0.333, 0.333, , 0.333, 0.250, , 0.333, 0.250, 0.333, 0.333, , , , 1.000, , , , 0.333, 0.167, 0.333, , , 0.333, , 
always, , , , , 0.000, , , , , 0.333, , , , , , 0.333, , 0.333, , , 0.333, 0.250, , , 0.333, , 0.250, 0.333, 0.333, 0.333, , 0.250, , 0.200, 0.250, , 0.333, , 0.333, 0.333, 0.250, 0.333, , , , , , 0.333, , , , 0.250, 0.250, , , 0.333, 0.333, 0.250, 0.250, 0.250, , 0.333, 0.333, , 0.333, 0.250, , 0.333, 0.250, 0.333, 0.333, , , , , , , , 0.333, 0.167, 0.333, , , 0.333, , 
another, , , , , , 0.000, , , , 0.333, , , , , , 0.333, , 0.333, , , 0.333, 0.250, , , 0.333, , 0.250, 0.333, 0.333, 0.333, , 0.250, , 0.200, 0.250, , 0.333, , 0.333, 0.333, 0.250, 0.333, , , , , , 0.333, , , , 0.250, 0.250, , , 0.333, 0.333, 0.250, 0.250, 0.250, , 0.333, 0.333, , 0.333, 0.250, , 0.333, 0.250, 0.333, 0.333, , , , , , , , 0.333, 0.167, 0.333, , , 0.333, , 
any, , , , , , , 0.000, , , 0.333, , , , , , 0.333, , 0.333, , , 0.333, 0.250, , , 0.333, , 0.250, 0.333, 0.333, 0.333, , 0.250, , 0.200, 0.250, , 0.333, , 0.333, 0.333, 0.250, 0.333, , , , , , 0.333, , , , 0.250, 0.250, , , 0.333, 0.333, 0.250, 0.250, 0.250, , 0.333, 0.333, , 0.333, 0.250, , 0.333, 0.250, 0.333, 0.333, , , , , , , , 0.333, 0.167, 0.333, , , 0.333, , 
around, , , , , , , , 0.000, , 0.333, , , , , , 0.333, , 0.333, , , 0.333, 0.250, , , 0.333, , 0.250, 0.333, 0.333, 0.333, , 0.250, , 0.200, 0.250, , 0.333, , 0.333, 0.333, 0.250, 0.333, , , , , , 0.333, , , , 0.250, 0.250, , , 0.333, 0.333, 0.250, 0.250, 0.250, , 0.333, 0.333, , 0.333, 0.250, , 0.333, 0.250, 0.333, 0.333, , , , , , , , 0.333, 0.167, 0.333, , , 0.333, , 
away, , , , , , , , , 0.000, 0.333, , , , , , 0.333, , 0.333, , , 0.333, 0.250, , , 0.333, , 0.250, 0.333, 0.333, 0.333, , 0.250, , 0.200, 0.250, , 0.333, , 0.333, 0.333, 0.250, 0.333, , , , , , 0.333, , , , 0.250, 1.000, , , 0.333, 0.333, 0.250, 0.250, 0.250, , 0.333, 0.333, , 0.333, 0.250, , 0.333, 0.250, 0.333, 0.333, , , , , , , , 0.333, 0.167, 0.333, , , 0.333, , 
back, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.000, , , , , , 0.333, 0.167, 0.333, 0.125, , 0.333, 0.250, , 0.077, 0.333, 0.125, 0.250, 0.333, 0.333, 0.500, 0.143, 0.333, 0.200, 0.250, 0.250, , 0.333, 0.091, 0.333, 0.333, 0.333, 0.333, 0.100, 0.167, 0.091, 0.091, 0.167, 0.333, , , , 0.250, 0.250, 0.091, , 0.333, 0.333, 0.500, 0.250, 0.333, 0.125, 0.333, 0.333, , 0.333, 0.250, , 0.333, 0.250, 0.333, 0.333, 0.083, , , , , , 0.100, 0.333, 0.200, 0.500, 0.083, 0.091, 0.333, 0.250, 
